@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
-0.562873,0.5,-0.1,-0.531654
-0.531654,0.5,0,-0.501826
-0.501826,0.5,0.1,-0.460695
-0.460695,0.5,0.2,-0.421005
-0.421005,0.5,0.3,-0.38656
-0.38656,0.5,0.4,-0.317607
-0.317607,0.5,0.5,0
0,0.5,0.6,0
0,0.5,0.7,0
0,0.5,0.8,0
0,0.5,0.9,0
0,0.6,-1,-0.833506
-0.833506,0.6,-0.9,-0.902665
-0.902665,0.6,-0.8,-0.741219
-0.741219,0.6,-0.7,-0.803664
-0.803664,0.6,-0.6,-0.823718
-0.823718,0.6,-0.5,-0.737059
-0.737059,0.6,-0.4,-0.694474
-0.694474,0.6,-0.3,-0.608404
-0.608404,0.6,-0.2,-0.574258
-0.574258,0.6,-0.1,-0.543336
-0.543336,0.6,0,-0.502251
-0.502251,0.6,0.1,-0.468748
-0.468748,0.6,0.2,-0.437421
-0.437421,0.6,0.3,-0.332824
-0.332824,0.6,0.4,-0.371269
-0.371269,0.6,0.5,-0.341024
-0.341024,0.6,0.6,0
0,0.6,0.7,0
0,0.6,0.8,0
0,0.6,0.9,0
0,0.7,-1,-0.901724
-0.901724,0.7,-0.9,-0.866638
-0.866638,0.7,-0.8,-0.795001
-0.795001,0.7,-0.7,-0.765021
-0.765021,0.7,-0.6,-0.824636
-0.824636,0.7,-0.5,-0.7837
-0.7837,0.7,-0.4,-0.723629
-0.723629,0.7,-0.3,-0.625819
-0.625819,0.7,-0.2,-0.584317
-0.584317,0.7,-0.1,-0.570956
-0.570956,0.7,0,-0.503613
-0.503613,0.7,0.1,-0.447071
-0.447071,0.7,0.2,-0.426991
-0.426991,0.7,0.3,-0.381867
-0.381867,0.7,0.4,0
0,0.7,0.5,0
0,0.7,0.6,0
0,0.7,0.7,0
0,0.7,0.8,0
0,0.7,0.9,0
0,0.8,-1,-0.824328
-0.824328,0.8,-0.9,-0.845074
-0.845074,0.8,-0.8,-0.828715
-0.828715,0.8,-0.7,-0.784985
-0.784985,0.8,-0.6,-0.765366
-0.765366,0.8,-0.5,-0.768519
-0.768519,0.8,-0.4,-0.683272
-0.683272,0.8,-0.3,-0.637983
-0.637983,0.8,-0.2,-0.613556
-0.613556,0.8,-0.1,-0.558453
-0.558453,0.8,0,-0.505306
-0.505306,0.8,0.1,-0.453725
-0.453725,0.8,0.2,-0.416414
-0.416414,0.8,0.3,0
0,0.8,0.4,0
0,0.8,0.5,0
0,0.8,0.6,0
0,0.8,0.7,0
0,0.8,0.8,0
0,0.8,0.9,0
0,0.9,-1,-0.915096
-0.915096,0.9,-0.9,-0.97765
-0.97765,0.9,-0.8,-0.863706
-0.863706,0.9,-0.7,-0.810313
-0.810313,0.9,-0.6,-0.86887
-0.86887,0.9,-0.5,-0.746182
-0.746182,0.9,-0.4,-0.6894
-0.6894,0.9,-0.3,-0.652731
-0.652731,0.9,-0.2,-0.623975
-0.623975,0.9,-0.1,-0.569591
-0.569591,0.9,0,-0.50269
-0.50269,0.9,0.1,-0.459017
-0.459017,0.9,0.2,-0.339588
-0.339588,0.9,0.3,-0.360493
-0.360493,0.9,0.4,0
0,0.9,0.5,0
0,0.9,0.6,0
0,0.9,0.7,0
0,0.9,0.8,0
0,0.9,0.9,0
0,0,-1,0
0,0,-0.9,0
0,0,-0.8,0
0,0,-0.7,0
0,0,-0.6,0
0,0,-0.5,0
0,0,-0.4,0
0,0,-0.3,0
0,0,-0.2,0
0,0,-0.1,0
0,0,0,0
0,0,0.1,0
0,0,0.2,0
0,0,0.3,0
0,0,0.4,0
0,0,0.5,0
0,0,0.6,0
0,0,0.7,0
0,0,0.8,0
0,0,0.9,0
0,0.1,-1,0
0,0.1,-0.9,0
0,0.1,-0.8,0
0,0.1,-0.7,0
0,0.1,-0.6,0
0,0.1,-0.5,0
0,0.1,-0.4,0
0,0.1,-0.3,0
0,0.1,-0.2,0
0,0.1,-0.1,0
0,0.1,0,0
0,0.1,0.1,0
0,0.1,0.2,0
0,0.1,0.3,0
0,0.1,0.4,0
0,0.1,0.5,0
0,0.1,0.6,0
0,0.1,0.7,0
0,0.1,0.8,0
0,0.1,0.9,0
0,0.2,-1,0
0,0.2,-0.9,0
0,0.2,-0.8,0
0,0.2,-0.7,0
0,0.2,-0.6,0
0,0.2,-0.5,0
0,0.2,-0.4,0
0,0.2,-0.3,0
0,0.2,-0.2,0
0,0.2,-0.1,0
0,0.2,0,0
0,0.2,0.1,0
0,0.2,0.2,0
0,0.2,0.3,0
0,0.2,0.4,0
0,0.2,0.5,0
0,0.2,0.6,0
0,0.2,0.7,0
0,0.2,0.8,0
0,0.2,0.9,0
0,0.3,-1,0
0,0.3,-0.9,0
0,0.3,-0.8,0
0,0.3,-0.7,0
0,0.3,-0.6,0
0,0.3,-0.5,0
0,0.3,-0.4,0
0,0.3,-0.3,0
0,0.3,-0.2,0
0,0.3,-0.1,0
0,0.3,0,0
0,0.3,0.1,0
0,0.3,0.2,0
0,0.3,0.3,0
0,0.3,0.4,0
0,0.3,0.5,0
0,0.3,0.6,0
0,0.3,0.7,0
0,0.3,0.8,0
0,0.3,0.9,0
0,0.4,-1,0
0,0.4,-0.9,0
0,0.4,-0.8,0
0,0.4,-0.7,0
0,0.4,-0.6,0
0,0.4,-0.5,0
0,0.4,-0.4,0
0,0.4,-0.3,0
0,0.4,-0.2,0
0,0.4,-0.1,0
0,0.4,0,0
0,0.4,0.1,0
0,0.4,0.2,0
0,0.4,0.3,0
0,0.4,0.4,0
0,0.4,0.5,0
0,0.4,0.6,0
0,0.4,0.7,0
0,0.4,0.8,0
0,0.4,0.9,0
0,0.5,-1,-0.386078
-0.386078,0.5,-0.9,0
0,0.5,-0.8,0
0,0.5,-0.7,-0.394216
-0.394216,0.5,-0.6,-0.333353
-0.333353,0.5,-0.5,0
0,0.5,-0.4,0
0,0.5,-0.3,0
0,0.5,-0.2,0
0,0.5,-0.1,0
0,0.5,0,0
0,0.5,0.1,0
0,0.5,0.2,0
0,0.5,0.3,0
0,0.5,0.4,0
0,0.5,0.5,0
0,0.5,0.6,0
0,0.5,0.7,0
0,0.5,0.8,0
0,0.5,0.9,0
0,0.6,-1,-0.417534
-0.417534,0.6,-0.9,-0.497437
-0.497437,0.6,-0.8,-0.359342
